Address,Category,City,Delivery,Fri,Health_Score,Highlights,Mon,Name,Phone,Price,Rating,Reviews,Sat,Smoking,Sun,Take_out,Thu,Tue,Wed,Wi_Fi
"1617 Research Park Dr,Davis,CA,95616","Fast Food,Chicken Wings,Chicken Shop",Davis,No,10:30 am - 10:00 pm,,,10:30 am - 10:00 pm,KFC,(530) 756-2400,Under $10,1.5,148,10:30 am - 10:00 pm,,10:30 am - 10:00 pm,Yes,10:30 am - 10:00 pm,10:30 am - 10:00 pm,10:30 am - 10:00 pm,No
"640 W Covell Blvd,Ste D,Davis,CA,95616","Barbeque,American (Traditional),Southern",Davis,Yes,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Dickey's Barbecue Pit,(530) 341-0623,$11-30,2.5,98,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"4444 Chiles Rd,Davis,CA,95616","Fast Food,Burgers,Coffee & Tea",Davis,No,4:45 am - 3:00 am,,,4:45 am - 2:00 am,McDonald's,(530) 753-5001,Under $10,3.0,142,4:45 am - 3:00 am,,4:45 am - 2:00 am,Yes,4:45 am - 2:00 am,4:45 am - 2:00 am,4:45 am - 2:00 am,Free
"1260 Lake Blvd,Davis,CA,95616","Grocery,Delis",Davis,,7:00 am - 12:00 am,,,7:00 am - 12:00 am,Westlake Market,(530) 792-1698,$11-30,4.5,48,7:00 am - 12:00 am,,7:00 am - 12:00 am,Yes,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,
"Sacramento,CA,95828",,Davis,No,,,,,Thai Lemongrass,(916) 926-1305,,4.5,6,,,,No,,,,
"757 Russell Blvd,Space 29,Davis,CA,95616",Sandwiches,Davis,No,7:00 am - 10:00 pm,,,7:00 am - 10:00 pm,Subway,(530) 753-3223,Under $10,2.0,57,8:00 am - 10:00 pm,,9:00 am - 10:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,No
"Unversity Of California,Hutchinson Dr,Davis,CA,95616",Fast Food,Davis,No,,,,,Silo,(530) 752-2656,Under $10,3.0,34,,,,Yes,,,,Free
"4811 Chiles Road,Davis,CA,95618","Tacos,Breakfast & Brunch",Davis,Yes,6:00 am - 12:00 am,,,6:00 am - 12:00 am,Taco Bell,(530) 753-9423,Under $10,2.5,55,6:00 am - 12:00 am,,6:00 am - 12:00 am,Yes,6:00 am - 12:00 am,6:00 am - 12:00 am,6:00 am - 12:00 am,No
"1 Shields Ave,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch,Tex-Mex",Davis,No,7:00 am - 6:00 pm,,,7:00 am - 10:00 pm,ASUCD Coffee House Coho,(530) 752-6622,Under $10,3.5,173,10:00 am - 5:00 pm,,10:00 am - 5:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,Free
"1411 W Covell Blvd,Ste 105,Davis,CA,95616","Sandwiches,Fast Food,Salad",Davis,No,10:00 am - 8:00 pm,,,10:00 am - 8:00 pm,Togo's Sandwiches,(530) 750-2625,Under $10,3.5,59,11:00 am - 8:00 pm,,11:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"1 Shields Ave,Davis,CA,95616",,Davis,,7:30 am - 5:00 pm,,,7:30 am - 6:30 pm,BioBrew by CoHo,(530) 752-3075,,5.0,1,Closed,,Closed,,7:30 am - 6:30 pm,7:30 am - 6:30 pm,7:30 am - 6:30 pm,
"1701 Cowell Blvd,Davis,CA,95618","Fast Food,Burgers",Davis,No,6:00 am - 12:00 am,,,6:00 am - 11:00 pm,Carl's Jr,(530) 756-1626,Under $10,2.5,24,6:00 am - 12:00 am,,6:00 am - 11:00 pm,Yes,6:00 am - 11:00 pm,6:00 am - 11:00 pm,6:00 am - 11:00 pm,Free
"Davis,CA,95616","Street Vendors,Sandwiches",Davis,No,11:00 am - 2:00 pm,,,"5:00 am - 7:00 am,11:00 am - 3:00 pm",Star Ginger Food Truck,,Under $10,2.5,43,Closed,,Closed,Yes,"5:00 am - 7:00 am,11:00 am - 3:00 pm","5:00 am - 7:00 am,11:00 am - 3:00 pm","5:00 am - 7:00 am,11:00 am - 3:00 pm",
"110 F St,Davis,CA,95616","American (Traditional),Coffee & Tea",Davis,No,6:00 am - 10:00 pm,,,6:00 am - 10:00 pm,Cafe 110,(530) 753-3600,Under $10,2.5,8,6:00 am - 10:00 pm,,6:00 am - 10:00 pm,Yes,6:00 am - 10:00 pm,6:00 am - 10:00 pm,6:00 am - 10:00 pm,No
"1100 Richards Blvd,Sacramento,CA,95811",,Davis,,,100 out of 100,,,Candies Kitchen,(916) 439-9922,,4.5,4,,,,Yes,,,,
"397 Hutchinson Dr,Davis,CA,95616","Coffee & Tea,Sandwiches,Cafeteria",Davis,No,7:30 am - 6:00 pm,,,7:30 am - 10:00 pm,Coho South Cafe,(530) 752-2249,$11-30,3.5,19,Closed,,Closed,Yes,7:30 am - 10:00 pm,7:30 am - 10:00 pm,7:30 am - 10:00 pm,
"1 Shields Ave,Davis,CA,95616","Food Court,Mexican",Davis,No,7:00 am - 4:00 pm,,,7:00 am - 6:00 pm,TxMx Grill,(530) 752-1011,Under $10,3.5,6,Closed,,Closed,Yes,7:00 am - 6:00 pm,7:00 am - 6:00 pm,7:00 am - 6:00 pm,Free
"1616 E Covell Blvd,Davis,CA,95616","Fast Food,Burgers",Davis,No,6:00 am - 11:00 pm,,,6:00 am - 11:00 pm,Carl's Jr.,(530) 758-1050,Under $10,2.5,25,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,Yes,6:00 am - 11:00 pm,6:00 am - 11:00 pm,6:00 am - 11:00 pm,No
"Sacramento,CA,95811","Seafood,Food Trucks",Davis,Yes,,Pass,,,Cousins Maine Lobster - Sacramento,(916) 270-2674,$11-30,4.0,315,,,,Yes,,,,No
"235 E Dorset Dr,Dixon,CA,95620",Sandwiches,Davis,,8:00 am - 10:00 pm,,,8:00 am - 10:00 pm,Subway,(707) 678-4501,Under $10,3.5,9,8:00 am - 10:00 pm,,8:00 am - 10:00 pm,Yes,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,
"Davis,CA",,Davis,,,,,,Lunch,,,,,,,,,,,,
"Sacramento,CA,95811","Food Trucks,Italian,Pizza",Davis,Yes,11:00 am - 9:00 pm,Pass,,Closed,Che Buono,(916) 430-6663,$11-30,4.5,46,11:00 am - 9:00 pm,,Closed,Yes,11:00 am - 9:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,No
"115 East Dorset Dr,Ste E,Dixon,CA,95620",,Davis,,,,,,Burgerim,,,,,,,,,,,,
"150 Dorset Dr,Dixon,CA,95620","Fast Food,Burgers,Tacos",Davis,No,Open 24 hours,83 out of 100,,Open 24 hours,Jack in the Box,(707) 678-3045,Under $10,3.0,35,Open 24 hours,,Open 24 hours,Yes,Open 24 hours,Open 24 hours,Open 24 hours,No
"130 G St,Davis,CA,95616",,Davis,No,,,,,Pachamama Coffee,(530) 204-7554,,,,,,,No,,,,Free
"Davis,CA,95618",,Davis,,,,,,Zaragoza Lounge,,,,,,,,,,,,
"Napa,CA,94581","Food Trucks,Wraps",Davis,No,10:30 am - 2:00 pm,A,,10:30 am - 2:00 pm,Phat Salads and Wraps,(707) 363-9658,Under $10,4.0,48,Closed,,Closed,Yes,10:30 am - 2:00 pm,10:30 am - 2:00 pm,10:30 am - 2:00 pm,No
"305 First St,Davis,CA,95616",,Davis,,,,,,Andrew's,,,,,,,,,,,,
"Davis,CA,95616",,Davis,,,,,,“ El rinconcito Garibaldi ” with rubio's catering,(530) 554-0283,,1.0,1,,,,,,,,
"215 Dorset Ct,Dixon,CA,95620","Burgers,Fast Food",Davis,No,,,,,Wendy's,(707) 678-2126,Under $10,,,,,,,,,,
"1106 N D,Ste 22,Sacramento,CA,95811","American (Traditional),Food Trucks",Davis,No,10:00 am - 9:00 pm,Pass,,Closed,Bacon MANia Truck,(916) 934-2674,$11-30,3.5,159,10:00 am - 9:00 pm,,10:00 am - 9:00 pm,Yes,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,No
"6854 Sievers Rd,Dixon,CA,95620",Sandwiches,Davis,No,6:00 am - 9:00 pm,,,6:00 am - 9:00 pm,Subway,(707) 678-4400,Under $10,2.5,2,7:00 am - 9:00 pm,,7:00 am - 9:00 pm,Yes,6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,
"Davis,CA,95618",,Davis,,,,,,Yesiah Latin Food,(530) 220-7044,,,,,,,,,,,
"Stockton,CA,95204",,Davis,Yes,11:30 am - 4:30 pm,,,11:30 am - 2:30 pm,Mudville Mc's,(657) 229-4627,,3.0,3,Closed,,Closed,Yes,11:30 am - 4:30 pm,11:30 am - 4:30 pm,11:30 am - 4:30 pm,
"Rio Linda,CA,95673",,Davis,No,9:00 am - 8:00 pm,,,9:00 am - 8:00 pm,BayAreaTacoCatering,(510) 866-6832,,,,9:00 am - 8:00 pm,,Closed,No,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,No
"Elk Grove,CA,95758",,Davis,No,10:00 am - 3:00 pm,,,10:00 am - 3:00 pm,Gondo Fusion,(650) 218-5404,,4.0,13,Closed,,Closed,Yes,10:00 am - 3:00 pm,10:00 am - 3:00 pm,10:00 am - 3:00 pm,
"3500 Anderson Rd,Davis,CA,95616",,Davis,,,,,,Delis Lydia,(530) 231-5720,,,,,,,,,,,
"550 Oxford Cir,Davis,CA,95616",,Davis,,,,,,Oxford Circle Dining Common,(530) 752-6658,,,,,,,,,,,
"Davis,CA,95618",,Davis,,,,,,Yesiah Latin Food,(530) 220-7044,,,,,,,,,,,
"Sacramento,CA,95835","Food Trucks,Barbeque",Davis,,,,,,All Angle BBQ,(916) 308-7570,$31-60,1.0,7,,,,,,,,
"125 E. Dorset Ave,Dixon,CA,95620","Fast Food,Burgers",Davis,No,10:00 am - 11:00 pm,88 out of 100,,10:00 am - 11:00 pm,Wendy's,(707) 678-7248,Under $10,2.5,50,10:00 am - 11:00 pm,,10:00 am - 11:00 pm,Yes,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,Free
"268 Nut Tree Rd,Vacaville,CA,95687",,Davis,No,11:30 am - 8:00 pm,,,11:30 am - 8:00 pm,Fil-Gud,(707) 389-5021,,3.0,15,11:00 am - 8:30 pm,,11:00 am - 7:00 pm,Yes,11:30 am - 8:00 pm,11:30 am - 8:00 pm,11:30 am - 8:00 pm,
"216 F St,56 B,Davis,CA,95616",,Davis,,9:00 am - 5:00 pm,,,9:00 am - 5:00 pm,Native Chops,(800) 868-2103,,,,Closed,,Closed,,9:00 am - 5:00 pm,9:00 am - 5:00 pm,9:00 am - 5:00 pm,
"Sacramento,CA,95841","Mediterranean,Food Trucks",Davis,No,,,,,GyroStop,(916) 304-4976,$11-30,4.5,83,,,,Yes,,,,No
"105 E Dorset Dr c,Dixon,CA,95620",Pizza,Davis,No,11:00 am - 8:00 pm,94 out of 100,,11:00 am - 8:00 pm,Papa Murphy's,(707) 693-6600,Under $10,4.5,20,11:00 am - 8:00 pm,,11:00 am - 8:00 pm,Yes,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,No
"233-299 W 14th St,Davis,CA,95616",,Davis,,,,,,Crunck Corner,(916) 451-2222,,,,,,,,,,,
"4748 Chiles Rd,Davis,CA,95618",Sandwiches,Davis,No,7:00 am - 10:00 pm,,,7:00 am - 10:00 pm,Subway,(530) 753-2141,Under $10,2.5,24,7:00 am - 10:00 pm,,7:00 am - 10:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,No
"1 Shields Ave,Coho-ASUCD Coffee House,Davis,CA,95616","Salad,Sandwiches",Davis,No,,,,,Croutons,(530) 754-2646,Under $10,3.0,4,,,,Yes,,,,Free
"2014 Lyndell Ter,Ste B,Davis,CA,95616",Sandwiches,Davis,No,9:00 am - 9:00 pm,,,9:00 am - 9:00 pm,Subway,(530) 792-1084,Under $10,3.0,15,9:00 am - 9:00 pm,,9:00 am - 8:00 pm,Yes,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,No
"976 Garrod Dr,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch,Burgers",Davis,No,7:00 am - 3:00 pm,,,7:00 am - 3:00 pm,Scrubs Cafe,(530) 752-6994,Under $10,3.0,32,Closed,,Closed,Yes,7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,Free
"1300 E Covell Blvd,Ste C,Davis,CA,95616",Sandwiches,Davis,No,9:00 am - 9:00 pm,,,9:00 am - 9:00 pm,Subway,(530) 756-4530,Under $10,2.0,14,9:00 am - 9:00 pm,,9:00 am - 8:00 pm,Yes,9:00 am - 9:00 pm,9:00 am - 9:00 pm,8:00 am - 9:00 pm,
"49 Bicentennial Cir,Sacramento,CA,95826","Food Trucks,Mexican",Davis,No,11:00 am - 6:00 pm,Pass,,11:00 am - 6:00 pm,Paquitas Mexican Grill,(530) 848-4666,Under $10,4.5,87,11:00 am - 6:00 pm,,Closed,Yes,11:00 am - 7:00 pm,11:00 am - 7:00 pm,11:00 am - 6:00 pm,Free
"1 Shields Ave,Asucd Coffee House,Davis,CA,95616","American (New),American (Traditional),Fast Food",Davis,No,10:30 am - 6:00 pm,,,10:30 am - 9:00 pm,Ciao,(530) 754-2646,Under $10,2.0,5,11:00 am - 2:00 pm,,11:00 am - 2:00 pm,Yes,10:30 am - 9:00 pm,10:30 am - 9:00 pm,10:30 am - 9:00 pm,
"1451 W Covell Blvd,Davis,CA,95616",,Davis,,,,,,China Express,,,3.0,1,,,,,,,,
"Stockton,CA,95209",,Davis,No,Open 24 hours,,"Locally owned & operated,Established in 2018,Locally sourced ingredients,Available by appointment,Private events",Open 24 hours,FIRED Mobile Pizza Oven,(209) 242-4105,,5.0,8,Open 24 hours,,Open 24 hours,No,Open 24 hours,Open 24 hours,Open 24 hours,No
"2026 Lyndell Ter,Davis,CA,95616","Fast Food,Burgers",Davis,No,6:00 am - 10:00 pm,,,6:00 am - 10:00 pm,Burger King,(530) 297-5700,Under $10,2.5,35,6:00 am - 10:00 pm,,7:00 am - 10:00 pm,Yes,6:00 am - 10:00 pm,6:00 am - 10:00 pm,6:00 am - 10:00 pm,Free
"Sacramento,CA,95819","Pizza,Food Trucks",Davis,No,6:00 am - 6:00 pm,Pass,,6:00 am - 6:00 pm,Bella Familia Wood Fired Pizza,(916) 759-4566,$11-30,5.0,78,6:00 am - 6:00 pm,,6:00 am - 6:00 pm,No,6:00 am - 6:00 pm,6:00 am - 6:00 pm,6:00 am - 6:00 pm,No
"1100 Richards Blvd,Sacramento,CA,95814","Food Trucks,Filipino",Davis,No,8:00 am - 8:00 pm,,,8:00 am - 8:00 pm,Tailgater44 Food Truck,(916) 430-0955,$11-30,4.0,38,9:00 am - 9:00 pm,,9:00 am - 7:00 pm,Yes,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,No
"Sacramento,CA,95828",,Davis,No,,Pass,,,Zintzuni Cocina Mexicana,(916) 606-1641,,4.5,45,,,,No,,,,No
"4120 Chiles Rd,Davis,CA,95618","Pizza,Chicken Wings,Sandwiches",Davis,Yes,10:00 am - 1:00 am,,,10:00 am - 12:00 am,Domino's Pizza,(530) 204-1212,Under $10,3.5,20,10:00 am - 1:00 am,,10:00 am - 12:00 am,Yes,10:00 am - 12:00 am,10:00 am - 12:00 am,10:00 am - 12:00 am,
"La Rue Rd Dairy Rd,Davis,CA,95616",Cafeteria,Davis,No,7:00 am - 8:00 pm,,,7:00 am - 12:00 am,Tercero Dining Common,(530) 752-4271,$11-30,3.0,19,9:00 am - 7:00 pm,,9:00 am - 8:00 pm,No,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,Free
"640 West Covell Blvd,Suite G,Davis,CA,95616",Pizza,Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Papa Murphy's,(530) 753-3999,$11-30,3.5,33,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"4625 2nd St,Davis,CA,95618",Pizza,Davis,,,,,,Pizza Hut,,Under $10,3.0,1,,,,,,,,
"1745 Cowell Blvd,Davis,CA,95618","Breakfast & Brunch,American (Traditional),Burgers",Davis,No,7:00 am - 12:00 am,,,7:00 am - 10:00 pm,IHOP,(530) 750-0170,$11-30,2.5,141,7:00 am - 12:00 am,,7:00 am - 10:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,No
"425 G Street,Davis,CA,95616","Tacos,Breakfast & Brunch",Davis,Yes,9:00 am - 2:00 am,,,9:00 am - 1:00 am,Taco Bell,(530) 758-4172,Under $10,2.5,62,9:00 am - 2:00 am,,9:00 am - 1:00 am,Yes,9:00 am - 1:00 am,9:00 am - 1:00 am,9:00 am - 1:00 am,Free
"1340 E Covell Blvd,Unit 103,Davis,CA,95616",Pizza,Davis,No,11:00 am - 11:00 pm,,,11:00 am - 10:00 pm,Little Caesars Pizza,(530) 758-7000,Under $10,2.5,40,11:00 am - 11:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"2038 Lyndell Ter,Ste 103,Davis,CA,95616","Pizza,Chicken Wings,Sandwiches",Davis,Yes,10:00 am - 2:00 am,,,10:00 am - 1:00 am,Domino's Pizza,(530) 756-5161,Under $10,3.5,63,10:00 am - 2:00 am,,10:00 am - 1:00 am,Yes,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,No
"1411 W Covell Blvd,Ste 111,Davis,CA,95616",,Davis,Yes,10:30 am - 11:00 pm,,,10:30 am - 10:00 pm,Round Table Pizza,(530) 756-1000,,2.5,23,10:30 am - 11:00 pm,,10:30 am - 10:00 pm,Yes,10:30 am - 10:00 pm,10:30 am - 10:00 pm,10:30 am - 10:00 pm,
"1 Shields Ave,Davis,CA,95616",,Davis,,,,,,Swirlz Cafe,,,4.5,2,,,,,,,,
"23944 County Rd 98,Woodland,CA,95695","American (Traditional),Tacos",Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Plainfield Station Bar & Grill,(530) 668-0207,Under $10,4.0,78,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"420 Hutchison Dr,Davis,CA,95616",,Davis,No,9:30 am - 7:00 pm,,,9:30 am - 8:00 pm,Shah's Halal Food - UC Davis Silo,(916) 417-1917,,3.5,2,Closed,,Closed,Yes,9:30 am - 7:00 pm,9:30 am - 8:00 pm,9:30 am - 8:00 pm,No
"1 Shields Ave,Davis,CA,95616",,Davis,,,,,,The Red Chicken,,,3.0,3,,,,,,,,
"170 Dorset Dr,Dixon,CA,95620","Fast Food,Chicken Wings",Davis,No,10:00 am - 10:00 pm,,,10:00 am - 10:00 pm,Popeyes Louisiana Kitchen,(707) 693-2962,Under $10,3.0,80,10:00 am - 10:00 pm,,10:00 am - 10:00 pm,Yes,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,No
"1515 Shasta Dr,The University Retirement Community,Davis,CA,95616",,Davis,,,,,,La Brisa Bistro,(530) 747-7000,,4.0,2,,,,,,,,
"4515 Fermi Pl,Davis,CA,95618","Sandwiches,Delis,Salad",Davis,No,10:00 am - 8:00 pm,,,10:00 am - 8:00 pm,Beach Hut Deli,(530) 756-1601,$11-30,3.0,145,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"2191 Cowell Blvd,Ste F,Davis,CA,95618","Sandwiches,American (New),Soup",Davis,No,10:00 am - 6:00 pm,,,10:00 am - 6:00 pm,Mr. Pickle's Sandwich Shop,(530) 297-1300,Under $10,4.0,114,10:00 am - 5:00 pm,,11:00 am - 5:00 pm,Yes,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,No
"417 Mace Blvd,Ste I,Davis,CA,95618",,Davis,Yes,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Extreme Pizza,(530) 564-4333,,3.5,56,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"420 Hutchison Dr,Davis,CA,95616",,Davis,No,10:00 am - 5:00 pm,,,10:00 am - 7:00 pm,Spokes Grill,(530) 752-6335,,4.0,3,Closed,,Closed,Yes,10:00 am - 7:00 pm,10:00 am - 7:00 pm,10:00 am - 7:00 pm,Free
"606 Pena Dr,Davis,CA,95616",,Davis,,,,,,Wing-Time Buffalo Wing Sauces,(530) 753-0804,,5.0,1,,,,,,,,
"Davis,CA,95618","Food Trucks,Tacos",Davis,No,,,,,Yesiah Latin Food,(530) 220-7044,Under $10,4.5,3,,,,Yes,,,,No
"255 Second St,Davis,CA,95616","American (Traditional),Breakfast & Brunch,Diners",Davis,No,6:00 am - 10:00 pm,,,6:00 am - 10:00 pm,Black Bear Diner,(530) 756-4190,$11-30,3.5,515,6:00 am - 10:00 pm,,6:00 am - 10:00 pm,Yes,6:00 am - 10:00 pm,6:00 am - 10:00 pm,6:00 am - 10:00 pm,Free
"1260 Lake Blvd,Ste 103,Davis,CA,95616",Mexican,Davis,No,10:00 am - 9:00 pm,,,10:00 am - 8:30 pm,Chuy's Taqueria,(530) 756-4183,Under $10,3.5,104,10:00 am - 9:00 pm,,Closed,Yes,10:00 am - 9:00 pm,10:00 am - 8:30 pm,10:00 am - 8:30 pm,No
"1 Shields Ave,Davis,CA,95616",,Davis,,10:00 am - 3:00 pm,,,10:00 am - 4:00 pm,Mandalay Express,,,4.0,1,Closed,,Closed,,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,
"Davis,CA,95616",,Davis,,Closed,,,Closed,Bare Juices,(916) 715-7373,,3.5,9,8:00 am - 1:00 pm,,Closed,,Closed,Closed,4:30 pm - 8:30 pm,
"227 E St,Ste 1,Davis,CA,95616","Mexican,Fast Food",Davis,No,10:45 am - 10:00 pm,,,10:45 am - 10:00 pm,Chipotle Mexican Grill,(530) 758-3599,Under $10,3.0,221,10:45 am - 10:00 pm,,10:45 am - 10:00 pm,Yes,10:45 am - 10:00 pm,10:45 am - 10:00 pm,10:45 am - 10:00 pm,No
"1750 E 8th St,Davis,CA,95616",Chinese,Davis,Yes,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Golden Sun,(530) 759-9392,Under $10,3.0,83,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Closed,No
"239 G St,Davis,CA,95616","Cafes,Coffee & Tea",Davis,No,6:00 am - 11:00 pm,,,6:00 am - 11:00 pm,Temple Coffee Roasters,(530) 341-0574,Under $10,4.0,437,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,Yes,6:00 am - 11:00 pm,6:00 am - 11:00 pm,6:00 am - 11:00 pm,Free
"223 3rd St,Davis,CA,95616","American (New),Hot Dogs,Delis",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 9:00 pm,3rd and U Cafe,(530) 758-9800,$11-30,3.5,196,11:30 am - 9:00 pm,,11:30 am - 5:00 pm,Yes,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"1321 W Covell Blvd,Davis,CA,95616","American (Traditional),Salad,Sandwiches",Davis,No,11:30 am - 9:00 pm,,,11:30 am - 8:00 pm,Jack's Urban Eats,(530) 753-3431,$11-30,3.0,243,11:30 am - 9:00 pm,,11:30 am - 8:00 pm,Yes,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,No
"115 E Dorset Dr,Ste B,Dixon,CA,95620","Mediterranean,Delis,Greek",Davis,Yes,10:30 am - 7:30 pm,91 out of 100,,10:30 am - 7:30 pm,S & S Deli,(707) 693-3399,Under $10,5.0,170,11:00 am - 4:30 pm,,Closed,Yes,10:30 am - 7:30 pm,10:30 am - 7:30 pm,10:30 am - 7:30 pm,Free
"200 E St,Davis,CA,95616",,Davis,,,,,,El Patio,(530) 661-9000,,3.5,38,,,,Yes,,,,
"Davis,CA","Desserts,Specialty Food,Food Stands",Davis,No,,,,,FatFace,,Under $10,4.5,17,,,,Yes,,,,No
"1020 Olive Dr,Davis,CA,95616","Fast Food,Burgers",Davis,No,10:30 am - 1:30 am,,,10:30 am - 1:00 am,In-N-Out Burger,(800) 786-1000,Under $10,4.0,397,10:30 am - 1:30 am,,10:30 am - 1:00 am,Yes,10:30 am - 1:00 am,10:30 am - 1:00 am,10:30 am - 1:00 am,No
"403 G St,Davis,CA,95616","Pizza,Persian/Iranian,Burgers",Davis,No,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Village Pizza & Grill,(530) 750-0100,$11-30,3.5,310,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Free
"222 D St,Ste 10,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch,Sandwiches",Davis,,8:00 am - 5:00 pm,,,8:00 am - 5:00 pm,Cloud Forest Cafe,(530) 753-2164,Under $10,4.0,232,8:00 am - 5:00 pm,,8:30 am - 5:00 pm,Yes,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,Free
"616 3rd St,Davis,CA,95616","Delis,Sandwiches",Davis,No,10:00 am - 6:00 pm,,,10:00 am - 6:00 pm,Zia's Delicatessen,(530) 750-7870,Under $10,4.0,337,10:00 am - 5:00 pm,,12:00 pm - 4:00 pm,Yes,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,No
"4823 Chiles Rd,Davis,CA,95618","Thai,American (Traditional),Breakfast & Brunch",Davis,Yes,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm",,,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm",Cindy's Restaurant,(530) 756-9894,Under $10,4.0,260,"6:00 am - 2:00 pm,5:00 pm - 9:30 pm",,"6:00 am - 2:00 pm,5:00 pm - 9:30 pm",Yes,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm","6:00 am - 3:00 pm,5:00 pm - 9:30 pm","6:00 am - 3:00 pm,5:00 pm - 9:30 pm",Free
"825 Russell Blvd,Davis,CA,95616","Food Trucks,Halal,Mediterranean",Davis,Yes,10:00 am - 8:00 pm,,,10:00 am - 8:00 pm,Shah's Halal Food - University Mall,(916) 417-1917,Under $10,4.0,285,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"978 Olive Dr,Davis,CA,95616",,Davis,,,,,,Jeff Burger,,,5.0,1,,,,,,,,
"825 Russell Blvd,Ste 20A,Davis,CA,95616","Hawaiian,Barbeque",Davis,No,11:00 am - 12:00 am,,,11:00 am - 12:00 am,Ohana Hawaiian BBQ,(530) 750-1888,Under $10,3.0,313,11:00 am - 12:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,No
