Address,Category,Name,Phone,Price,Rating,Reviews
"2272 Chestnut St,San Francisco,CA,94123","Greek,Mediterranean",Souvla,(415) 400-5458,$11-30,4.0,73
"242 O'Farrell St,San Francisco,CA,94102","Breweries,Sports Bars,Gastropubs",Bartlett Hall,(415) 433-4332,$11-30,3.5,875
"360 Jessie St,San Francisco,CA,94103","American (New),British,Cocktail Bars",The Cavalier,(415) 321-6000,$31-60,4.0,1019
"1042 Kearny St,San Francisco,CA,94133","Italian,Pizza,Seafood",Tommaso's,(415) 398-9696,$11-30,4.0,1591
"4301 24th St,San Francisco,CA,94114","Thai,Asian Fusion,Laotian",Rin's Thai Restaurant,(415) 821-4776,$11-30,4.0,352
"425 Hayes St,Ste A,San Francisco,CA,94102",Mexican,Papito Hayes,(415) 554-0541,$11-30,4.0,703
"2505 3rd St,San Francisco,CA,94107","American (New),Brewpubs,Bars",Magnolia Dogpatch,(415) 864-7468,$11-30,3.5,123
"132 The Embarcadero,San Francisco,CA,94105","Seafood,Steakhouses",Angler,(415) 872-9442,Above $61,3.5,317
"3251 20th Ave,San Francisco,CA,94132","Italian,Salad,Soup",Olive Garden Italian Restaurant,(415) 661-6770,$11-30,3.0,1147
"3226 Mission St,San Francisco,CA,94110",Peruvian,Mi Lindo Perú,(415) 642-4897,$11-30,4.0,727
"300 Spear St,San Francisco,CA,94105",American (New),Prospect,(415) 247-7770,$31-60,4.0,1564
"710 Montgomery St,San Francisco,CA,94111","American (New),French",Nico,(415) 359-1000,$31-60,4.0,290
"2327 Mission St,San Francisco,CA,94110","Bars,Caribbean,Tapas/Small Plates",Cha Cha Cha,(415) 824-1502,$11-30,3.5,1955
"San Francisco,CA,94129",,Hotbird,(510) 917-0484,,4.5,94
"830 Cortland Ave,San Francisco,CA,94110","Latin American,Peruvian",Piqueo's,(415) 282-8812,$31-60,4.0,654
"603 Bush St,San Francisco,CA,94108",French,Bouche,(415) 956-0396,$31-60,4.5,771
"1715 Union St,San Francisco,CA,94123",Italian,Pane E Vino,(415) 441-2111,$11-30,4.0,409
"2140 Clement St,San Francisco,CA,94121","Korean,Barbeque,Asian Fusion",K-Elements BBQ,(415) 851-8870,$11-30,4.0,548
"3115 22nd St,San Francisco,CA,94110",Mexican,Californios,(415) 757-0994,Above $61,4.5,294
"Pier 43 1/2 Fisherman's Wharf,Fisherman's Wharf,San Francisco,CA,94133","Seafood,American (Traditional)",Franciscan Crab Restaurant,(415) 362-7733,$31-60,3.5,1784
"82 14th St,San Francisco,CA,94103",Japanese,Okkon Japanese Street Food,(510) 590-0482,$11-30,4.5,18
"550 16th St,San Francisco,CA,94158","Mediterranean,Middle Eastern,Kebab",SF Kebab,(415) 255-2262,$11-30,4.0,303
"59 Columbus Ave,San Francisco,CA,94133",Italian,Caffe Macaroni,(415) 956-9737,$11-30,4.5,557
"1327 Polk St,San Francisco,CA,94109",,El Lopo,(415) 237-3072,,4.5,55
"431 Natoma St,San Francisco,CA,94103","Food Stands,Burgers,Waffles",Box Kitchen,(415) 580-7170,$11-30,4.5,806
"943 Columbus Ave,San Francisco,CA,94133","Indian,Halal,Pakistani",Curry Leaf,(415) 440-4293,$11-30,4.5,638
"1115 Clement St,San Francisco,CA,94118","Hot Pot,Chinese,Mongolian",DNM Hot Pot,(415) 668-8666,$11-30,4.5,100
"2304 Market St,San Francisco,CA,94114","Burgers,American (Traditional)",Super Duper Burgers,(415) 558-8123,Under $10,4.0,1288
"900 Bush St,Ste C101,San Francisco,CA,94109","Izakaya,Sushi Bars",Izakaya Yoki,(415) 923-1141,$11-30,4.5,197
"3180-82 16th St,San Francisco,CA,94103","Indian,Pakistani",Pakwan Restaurant - 16th Street,(415) 255-2440,$11-30,4.0,1739
"2526 3rd St,San Francisco,CA,94107","Soul Food,Southern,Sandwiches",Hard Knox Cafe,(415) 648-3770,$11-30,4.0,2151
"708 Clement St,San Francisco,CA,94118","American (New),Cocktail Bars",Heritage Restaurant & Bar,(415) 386-2200,$11-30,4.0,198
"1400 Sutter St,San Francisco,CA,94109","Sandwiches,Delis,Beer, Wine & Spirits",Limoncello,(415) 638-6361,$11-30,5.0,866
"510 Union St,San Francisco,CA,94133","Mexican,Seafood",Don Pistos,(415) 395-0939,$11-30,4.0,1793
"2316 Polk St,San Francisco,CA,94109","French,Wine Bars",La Folie,(415) 776-5577,Above $61,4.5,1458
"1725 Haight St,San Francisco,CA,94117","American (New),Breakfast & Brunch,Cocktail Bars",The Alembic,(415) 666-0822,$11-30,4.0,1677
"2211 Mission St,San Francisco,CA,94110","Mexican,Desserts,Cocktail Bars",Gracias Madre,(415) 683-1346,$11-30,4.0,3234
"3970 17th St,San Francisco,CA,94114","Thai,American (New),Breakfast & Brunch",Me & Tasty,(415) 923-8498,$11-30,4.0,317
"50 Moraga Ave,San Francisco,CA,94129","Mexican,Beer, Wine & Spirits",Arguello,(415) 561-3650,$11-30,3.0,322
"3611 18th St,San Francisco,CA,94110","Pizza,Italian,Bars",Pizzeria Delfina - Mission,(415) 437-6800,$11-30,4.0,2285
"Pier 7 The Embarcadero,San Francisco,CA,94111","Seafood,American (Traditional)",Waterfront Restaurant,(415) 391-2696,$31-60,3.0,1199
"18 Yerba Buena Ln,San Francisco,CA,94103","Ramen,Noodles,Soup",Ippudo San Francisco,(415) 348-1202,$11-30,3.5,968
"317 Connecticut St,San Francisco,CA,94107",Mexican,Papito Potrero Hill,(415) 695-0147,$11-30,4.0,687
"1325 9th Ave,San Francisco,CA,94122","Hot Pot,Japanese",Nabe,(415) 731-2658,$11-30,4.0,535
"409 Gough St,San Francisco,CA,94102","American (Traditional),Italian,Desserts",Dobbs Ferry Restaurant,(415) 551-7700,$11-30,4.0,597
"2878 24th St,San Francisco,CA,94110","Japanese,Sushi Bars",Sake Bomb,(415) 824-2878,$11-30,4.5,101
"303 2nd St,San Francisco,CA,94107","American (New),Sports Bars,Venues & Event Spaces",Red Dog Restaurant & Bar,(415) 692-0211,$11-30,3.5,493
"1939 Ocean Ave,San Francisco,CA,94127","Japanese,Sushi Bars,Poke",Kaisen DON,(415) 859-9081,$11-30,4.0,338
"721 Market St,San Francisco,CA,94103","Burgers,American (Traditional)",Super Duper Burgers,(415) 538-3437,$11-30,4.0,2770
"1446 Market St,San Francisco,CA,94102","Southern,Whiskey Bars,American (New)",Hazel Southern Bar & Kitchen,(415) 964-9644,$11-30,4.0,434
"1705 Haight St,San Francisco,CA,94117",Thai,Siam Lotus Thai Cuisine,(415) 933-8031,$11-30,4.0,450
"753 Alabama St,San Francisco,CA,94110","Cocktail Bars,American (New),Comfort Food",True Laurel,(415) 341-0020,$11-30,4.0,187
"2100 Van Ness Ave,San Francisco,CA,94109",Steakhouses,Harris' Restaurant,(415) 673-1888,Above $61,4.0,1853
"9 th St & Ave H,Bldg 368,San Francisco,CA,94130",American (New),Job Corps Advanced Culinary Academy Fine Dining Restaurant,(415) 277-2370,$11-30,4.5,27
"801 Montgomery St,San Francisco,CA,94133","Steakhouses,Japanese,Cocktail Bars",Roka Akor - San Francisco,(415) 362-8887,Above $61,4.0,1304
"1382 9th Ave,San Francisco,CA,94122",Ramen,Ushi Taro,(415) 702-6014,$11-30,4.0,224
"1015 Irving St,San Francisco,CA,94122","Vietnamese,Chinese,Noodles",Yummy Yummy,(415) 566-4722,$11-30,4.0,1422
"1800 Montgomery St,San Francisco,CA,94111","American (New),Wine Bars",Hillstone,(415) 392-9280,$31-60,4.0,2201
"1407 Bush St,San Francisco,CA,94109",Peruvian,La Fina Estampa,(415) 345-1685,$11-30,4.0,242
"448 Brannan St,San Francisco,CA,94107","Steakhouses,Seafood,American (New)",Alexander's Steakhouse,(415) 495-1111,Above $61,4.0,1720
"1160 Polk St,Fl 2,San Francisco,CA,94109","Gastropubs,Cideries",Upcider,(415) 966-5730,$11-30,4.0,606
"714 Montgomery St,San Francisco,CA,94111","American (New),Cocktail Bars,Venues & Event Spaces",Barbarossa Lounge,(415) 434-4204,$11-30,4.0,451
"508 4th St,San Francisco,CA,94107","Bars,Venues & Event Spaces,American (New)",Coin-Op Game Room,(628) 444-3277,$11-30,4.5,513
"415 Sansome St,San Francisco,CA,94111","Wine Bars,Restaurants,Cocktail Bars",The Barrel Room,(415) 956-6900,$11-30,4.0,316
"3388 19th St,San Francisco,CA,94110","Senegalese,Dance Clubs,Cocktail Bars",Bissap Baobab,(415) 826-9287,$11-30,4.0,888
"644 Broadway,San Francisco,CA,94133","Chinese,Cocktail Bars,Asian Fusion",China Live,(415) 788-8188,$11-30,3.5,1195
"3420 Balboa St,San Francisco,CA,94121",Shanghainese,Jiangnan Cuisine,(415) 702-9931,$11-30,4.5,215
"302 Broderick St,San Francisco,CA,94117",,RT Rotisserie,,,4.0,42
"851 Beach St,San Francisco,CA,94109","Barbeque,Pubs,American (Traditional)",The Pub At Ghirardelli Square,(415) 351-0500,$11-30,3.5,919
"680 Valencia St,San Francisco,CA,94110","Thai,Laotian,Venues & Event Spaces",Hawker Fare,(415) 400-5699,$11-30,3.5,491
"3215 Mission St,San Francisco,CA,94110","Arcades,Bars,Hawaiian",Outer Orbit,(415) 574-6166,$11-30,4.5,80
"523 Broadway,San Francisco,CA,94133","Indian,Himalayan/Nepalese",Urban Curry Restaurant,(415) 677-9743,$11-30,4.0,658
"2340 Geary Blvd,San Francisco,CA,94115","Korean,Noodles,Soup",Zazang Korean Noodles,(415) 447-0655,$11-30,3.5,500
"555 Columbus Ave,San Francisco,CA,94133","Italian,Argentine",Il Pollaio,(415) 362-7727,$11-30,4.5,385
"4318 California St,San Francisco,CA,94118","German,Comfort Food,Polish",Cafe Europa,(415) 386-1000,$11-30,4.5,445
"741 Valencia St,San Francisco,CA,94110","Mexican,Cocktail Bars",Tacolicious,(415) 649-6077,$11-30,3.5,1447
"5827 Geary Blvd,San Francisco,CA,94121",Vietnamese,An Chi,(415) 702-9986,$11-30,4.5,84
"2966 Mission St,San Francisco,CA,94110","Middle Eastern,Mediterranean,Arabian",Old Jerusalem Restaurant,(415) 642-5958,$11-30,4.0,1072
"3115 Fillmore St,San Francisco,CA,94123",Mexican,Tacko,(415) 796-3534,$11-30,4.0,779
"499 Illinois St,San Francisco,CA,94158","American (New),Mediterranean,Bars",Stem Kitchen & Garden,(415) 915-1000,$11-30,3.5,391
"1453 18th St,San Francisco,CA,94107","American (Traditional),Salad,Breakfast & Brunch",Mac Daddy,(415) 872-6670,$11-30,4.0,544
"2801 Folsom St,San Francisco,CA,94110","Latin American,Peruvian,Wine Bars",Alma Cocina,(415) 341-0389,$11-30,4.0,253
"871 Sutter St,San Francisco,CA,94109","Cocktail Bars,Wine Bars,American (New)",Louie's Gen-Gen Room,(415) 440-5446,$11-30,4.5,213
"450 Balboa St,San Francisco,CA,94118","Chicken Wings,Beer Bar",Foghorn Taproom,,$11-30,4.0,55
"710 Florida St,Fl 2,San Francisco,CA,94110",,ChiliCali,(510) 516-0767,,5.0,18
"1000 Larkin St,San Francisco,CA,94109","American (New),Bars",The Saratoga,(415) 932-6464,$31-60,4.0,331
"242 King St,San Francisco,CA,94107","Burgers,American (New),Gastropubs",Umami Burger Soma District,(415) 904-8626,$11-30,3.0,1037
"3047 Mission St,San Francisco,CA,94110","Italian,Venezuelan",Francisca's,(415) 374-5747,$31-60,4.5,145
"2323 Mission St,San Francisco,CA,94110","Bars,American (New)",Teeth,(415) 285-2380,$11-30,3.5,1023
"783 Mission St,San Francisco,CA,94103","Burgers,American (Traditional)",Super Duper Burgers,(415) 882-1750,$11-30,4.0,1345
"3856 24th St,San Francisco,CA,94114","Sushi Bars,Japanese,Seafood",Saru Sushi Bar,(415) 400-4510,$31-60,4.5,840
"243 O'Farrell St,San Francisco,CA,94102","Irish,Irish Pub",Johnny Foley's,(415) 954-0777,$11-30,4.0,1310
"1809 Union St,San Francisco,CA,94123",Italian,Capannina,(415) 409-8001,$31-60,4.0,824
"2434 Mission St,San Francisco,CA,94110","Indian,Himalayan/Nepalese,Vegan",Mission Curry House,(415) 872-9130,$11-30,4.5,78
"398 Hayes St,San Francisco,CA,94102","French,Breakfast & Brunch,Bars",Absinthe Brasserie & Bar,(415) 551-1590,$31-60,4.0,3254
"2801 Geary Blvd,San Francisco,CA,94118","Pubs,British",The Pig & Whistle,(415) 885-4779,$11-30,4.0,464
"1740 Buchanan St,San Francisco,CA,94115",Ramen,Oji,(415) 658-7103,$11-30,4.0,85
"178 Townsend St,San Francisco,CA,94107",American (New),Saison,(415) 828-7990,Above $61,4.0,479
"609 Hayes St,San Francisco,CA,94102",French,Petit Crenn,(415) 864-1744,Above $61,4.0,432
"2506 Fillmore St,San Francisco,CA,94115","Italian,Wine Bars",Jackson Fillmore Trattoria,(415) 346-5288,$11-30,4.0,492
"2660 Mason St,San Francisco,CA,94133",,Krispy Krunchy Chicken,(415) 800-8637,,4.5,24
"1833 Irving St,San Francisco,CA,94122","Vietnamese,Noodles",Pho Huynh Hiep 2 - Kevin's Noodle House,(415) 664-0469,Under $10,4.0,1654
"808 Geary St,San Francisco,CA,94109","Vietnamese,Bars",Anh Hong Bo 7 Mon,(415) 885-5180,$11-30,4.0,569
"2223 Union St,San Francisco,CA,94123","French,Burgers",Gamine,(415) 771-7771,$11-30,4.5,886
"3226 Geary Blvd,San Francisco,CA,94118","Thai,Breakfast & Brunch",Derm Restaurant,(415) 379-4549,$11-30,4.0,237
"458 Grove St,San Francisco,CA,94102","Wine Bars,American (New)",Birba,(415) 549-7612,$11-30,4.5,117
"2770 Taylor St,San Francisco,CA,94133","Burgers,American (Traditional),Sports Bars",Applebee's Grill + Bar,(415) 749-9025,$11-30,2.0,523
"1701 Powell St,San Francisco,CA,94133","Izakaya,Tapas/Small Plates,Pubs",Noren Izakaya,(415) 291-9268,$31-60,4.0,58
"1 Stanyan St,Unit 2,San Francisco,CA,94118","Thai,Chicken Shop",Rooster & Rice,(415) 702-6364,$11-30,4.5,5
"343 Clement St,San Francisco,CA,94118","Japanese,Korean,Asian Fusion",KoJa Kitchen,(415) 463-5085,$11-30,4.0,617
"2427 3rd St,San Francisco,CA,94107","Latin American,Tacos,Tapas/Small Plates",Gilberth's Latin Fusion Restaurant,(415) 913-7163,$11-30,4.0,353
"2301 Clement St,San Francisco,CA,94121","Cocktail Bars,American (Traditional)",Violet's,(415) 682-4861,$11-30,3.5,162
"1785 Union St,San Francisco,CA,94123",Burgers,Roam Artisan Burgers,(415) 440-7626,$11-30,4.0,1532
"150 W Portal Ave,San Francisco,CA,94127","Italian,Pizza",Trattoria da Vittorio - San Francisco,(415) 742-0300,$11-30,4.0,720
"1608 Bush St,San Francisco,CA,94109","Breakfast & Brunch,Filipino,French",1608 Bistro,(415) 346-1608,$11-30,4.0,265
"355 11th St,San Francisco,CA,94103","Bars,American (New)",Bar Agricole,(415) 355-9400,$31-60,3.5,1073
"1429 Stockton St,San Francisco,CA,94133",Italian,Firenze by Night Ristorante,(415) 392-8585,$11-30,4.0,1009
"3060 Fillmore St,San Francisco,CA,94123",Burgers,Shake Shack,(415) 405-4618,$11-30,2.5,142
"546 Valencia St,San Francisco,CA,94110",Mexican,Puerto Alegre,(415) 255-8201,$11-30,4.0,1084
"354 Clement St,San Francisco,CA,94118","Japanese,Hot Pot",Shabu House,(415) 742-4689,$11-30,4.0,297
"115 Sansome St,San Francisco,CA,94104","Japanese,Sushi Bars",The Shota,(628) 224-2074,Above $61,4.5,156
"3266 24th St,San Francisco,CA,94110","Caribbean,Cocktail Bars",Obispo,(415) 529-2099,$11-30,4.5,74
"1455 Market St,Ste 3A,San Francisco,CA,94103","Japanese,Noodles",Kagawa-Ya Udon,(415) 703-0995,$11-30,4.0,301
"584 Valencia St,San Francisco,CA,94110","Bars,Asian Fusion",Bon Voyage,(415) 658-7878,$11-30,4.0,124
"901 Taraval St,San Francisco,CA,94116",Noodles,Guilin Rice Noodles House,(415) 681-2988,$11-30,3.5,44
"3324 24th St,San Francisco,CA,94110","Czech,German,Hungarian",Paprika,(415) 375-1477,$11-30,4.5,405
"1096 S Van Ness Ave,San Francisco,CA,94110","Mini Golf,American (New),Bars",Urban Putt,(415) 341-1080,$11-30,4.5,1402
"22 Peace Plz,Ste 530,San Francisco,CA,94115","Japanese,Sushi Bars",Sasa,(415) 683-9674,$31-60,4.0,216
"2140 Mission St,San Francisco,CA,94110","Gastropubs,Bars",The Sycamore,(415) 252-7704,$11-30,4.0,726
"3414-3416 Judah St,San Francisco,CA,94122","Cocktail Bars,Mexican",Sunset Cantina,(415) 571-8874,$11-30,4.5,71
"524 Van Ness Ave,San Francisco,CA,94102","Indian,Cocktail Bars,Breakfast & Brunch",August 1 Five,(415) 771-5900,$31-60,4.0,731
"235 Church St,San Francisco,CA,94114","Pizza,Cocktail Bars,Breakfast & Brunch",Il Casaro Pizzeria & Mozzarella Bar -  Castro,(415) 875-9421,$11-30,4.5,103
"7 Claude Ln,San Francisco,CA,94108","French,Venues & Event Spaces",Cafe Claude,(415) 392-3505,$31-60,4.0,1999
"2355 Chestnut St,San Francisco,CA,94123","Italian,Pizza",A16,(415) 771-2216,$31-60,3.5,1989
"5344 Geary Blvd,San Francisco,CA,94121","Teppanyaki,Ramen,Hot Pot",Super Pan,(415) 668-5344,$11-30,4.0,366
"762 Valencia St,San Francisco,CA,94110","Japanese,Vegetarian,Vegan",Cha-Ya,(415) 252-7825,$11-30,4.0,1190
"San Francisco,CA,94110","Ramen,Pop-Up Restaurants",Noodle in a Haystack,,$11-30,5.0,37
"San Francisco,CA,94134",,Goldie's Oakwood BBQ,(415) 912-8388,,5.0,62
"25 Yerba Buena Ln,San Francisco,CA,94103","Indian,Lounges",Amber India,(415) 777-0500,$31-60,4.0,2098
"475 Pine St,San Francisco,CA,94104","Latin American,Desserts,Breakfast & Brunch",La Fusión,(415) 781-0894,$11-30,4.5,1110
"1318 Grant Ave,San Francisco,CA,94133",,Portofino,(415) 400-5776,,5.0,11
"901 Divisadero St,San Francisco,CA,94115","Ethiopian,Gluten-Free,Vegetarian",Oasis Cafe,(415) 474-4900,$11-30,4.5,249
"2826 Jones St,San Francisco,CA,94133",Pizza,Carmel Pizza Company,(415) 676-1185,$11-30,4.5,810
"San Francisco,CA","Caterers,Caribbean",Peaches Patties Jamaican Kitchen,(415) 562-7589,$11-30,4.0,45
"2030 Union St,San Francisco,CA,94123","Mexican,Cocktail Bars,Breakfast & Brunch",Flores,(415) 932-6004,$11-30,4.0,502
"643 Post St,San Francisco,CA,94109",Korean,Zzan,(415) 872-9977,$11-30,3.5,230
"3010 20th St,San Francisco,CA,94110","Cocktail Bars,American (New)",Trick Dog,(415) 471-2999,$11-30,4.0,810
"1314 Ocean Ave,San Francisco,CA,94112","Beer Gardens,American (New)",Ocean Ale House,(415) 988-7521,$11-30,4.5,247
"1031 Ocean Ave,San Francisco,CA,94112","Chinese,Hong Kong Style Cafe",Orchids Cafe,(415) 333-8668,$11-30,4.0,130
"144 Taylor St,San Francisco,CA,94102","Bars,American (New),Performing Arts",PianoFight,(415) 816-3691,$11-30,4.5,201
"4014 Geary Blvd,San Francisco,CA,94118","Japanese,Asian Fusion,Barbeque",Camp BBQ,(415) 387-1378,$11-30,4.0,240
"53 W Portal Ave,San Francisco,CA,94127",Indian,Roti Indian Bistro,(415) 665-7684,$11-30,4.0,750
"730 Howard St,Yerba Buena Gardens,San Francisco,CA,94103","Restaurants,Tea Rooms,Venues & Event Spaces",Samovar - Yerba Buena Gardens,(415) 227-9400,$11-30,4.0,2428
"6055 Mission St,Daly City,CA,94014","Asian Fusion,Noodles",Noodle Station,(415) 333-3888,$11-30,4.0,123
"574 Green St,San Francisco,CA,94133","Italian,Seafood",Caffe Sport,(415) 981-1251,$11-30,4.0,759
"680 Folsom St,San Francisco,CA,94107",American (Traditional),Creator,(415) 879-9276,Under $10,4.0,204
"316 11th St,San Francisco,CA,94103","Comfort Food,Cocktail Bars,Lounges",Bergerac,(415) 255-9440,$11-30,4.0,309
"449 Castro St,San Francisco,CA,94114","Turkish,Mediterranean,Kebab",Park Gyros - Castro,(415) 872-9779,$11-30,4.0,200
"688 Mission St,San Francisco,CA,94105","Pizza,Italian,Wine Bars",Pizzeria Delfina - Downtown,(415) 286-9426,$11-30,4.0,119
"3406 18th St,San Francisco,CA,94110","Burmese,Chinese",Yamo,(415) 553-8911,Under $10,4.0,1974
"521A 3rd St,San Francisco,CA,94107","Korean,Asian Fusion,Mexican",HRD,(415) 543-2355,$11-30,4.0,2485
"311 3rd St,San Francisco,CA,94107","Thai,Asian Fusion,Lounges",Osha Thai,(415) 896-6742,$11-30,3.5,951
"736 Clement St,San Francisco,CA,94118",Dim Sum,Good Luck Dim Sum,(415) 386-3388,Under $10,4.0,1606
"771 Ellis St,San Francisco,CA,94109",Thai,Zen Yai Thai Restaurant,(415) 885-0725,Under $10,4.0,708
"1824 Irving St,San Francisco,CA,94122","Sports Bars,American (Traditional),Mexican",The Taco Shop At Underdog's,(415) 566-8700,$11-30,4.0,1843
"1489 Folsom St,San Francisco,CA,94103","Thai,Noodles,Cocktail Bars",Basil Canteen,(415) 552-3963,$11-30,4.0,539
"600 Polk St,San Francisco,CA,94102","American (New),Cocktail Bars,British",Whitechapel SF,(415) 292-5800,$11-30,4.0,469
"2886 16th St,San Francisco,CA,94103","Latin American,Mexican,Bars",Poc-Chuc,(415) 558-1583,$11-30,4.5,547
"2341 C Folsom St,San Francisco,CA,94110",,Chuy's Fiestas,(415) 624-5071,,5.0,37
"380 Bush St,San Francisco,CA,94104","Russian,Ukrainian",Pushkin,(415) 901-3434,Under $10,4.5,185
"601 Eddy St,San Francisco,CA,94109","American (New),Bars",Chambers,(415) 496-5178,$11-30,4.0,970
"2834 Diamond St,San Francisco,CA,94131",Mexican,La Corneta Taqueria,(415) 469-8757,$11-30,4.0,1100
"489 3rd St,San Francisco,CA,94107",Italian,La Briciola,(415) 512-0300,$11-30,4.0,880
"1668 Haight St,San Francisco,CA,94117",Indian,Om Indian Cuisine,(415) 525-3705,$11-30,4.0,294
"1257 Taylor St,San Francisco,CA,94108",Italian,Venticello Ristorante,(415) 922-2545,$31-60,4.0,513
"136 Church St,San Francisco,CA,94114",Mexican,El Castillito,(415) 621-3428,$11-30,4.0,845
"2201 Chestnut St,San Francisco,CA,94123","Burgers,American (Traditional)",Super Duper Burgers,(415) 931-6258,$11-30,4.0,876
"4737 Geary Blvd,San Francisco,CA,94118",Szechuan,Dong Bei Mama,(415) 221-4278,$11-30,4.0,389
"184 O'Farrell St,San Francisco,CA,94102","Thai,Noodles",King Of Thai Noodle House,(415) 677-9991,$11-30,3.5,1870
"3154 Fillmore St,San Francisco,CA,94123",,The Greenwich,(415) 508-5898,,4.5,12
"288 Golden Gate Ave,San Francisco,CA,94102","Pizza,Himalayan/Nepalese,Indian",Himalayan Pizza and Momo,(415) 658-7696,$11-30,4.5,139
"637 Larkin St,San Francisco,CA,94109","Vietnamese,Noodles",Pho 2000,(415) 474-1188,Under $10,4.0,793
"1665 Folsom St,San Francisco,CA,94103","Barbeque,Desserts,Sandwiches",CatHead's BBQ,(415) 861-4242,$11-30,4.0,923
"1111 Mission St,San Francisco,CA,94103","Chinese,Lounges,Hot Pot",Tēo Restaurant & Bar,(415) 626-8366,$11-30,3.5,293
"3565 20th St,San Francisco,CA,94110","American (New),Wine Bars",20 Spot,(415) 624-3140,$11-30,4.5,243
"3336 Sacramento St,San Francisco,CA,94118","American (Traditional),Barbeque",Smokin' Warehouse Barbecue - Sacramento Street,(415) 440-0088,$11-30,4.0,55
"303 2nd St,San Francisco,CA,94107",Thai,Rooster & Rice,(415) 896-2000,$11-30,4.0,367
"2642 Ocean Ave,San Francisco,CA,94132","Korean,Bars",Wang Dae Bak,(415) 564-1500,$11-30,3.5,288
"2298 Fillmore St,San Francisco,CA,94115","Bars,American (Traditional)",Palmer's,(415) 732-7777,$11-30,3.5,260
"431 Balboa St,San Francisco,CA,94118","Sushi Bars,Japanese",Sushi Bistro,(415) 933-7100,$11-30,4.0,1521
"474 3rd St,San Francisco,CA,94107","Sushi Bars,Japanese",Hakashi Japanese Bar & Grill,(415) 872-9589,$11-30,4.5,223
"3339 Steiner St,San Francisco,CA,94123","Sushi Bars,Japanese",Ace Wasabi  Rock-N-Roll Sushi,(415) 567-4903,$11-30,4.0,951
"2206 Polk St,San Francisco,CA,94109","Japanese,Sushi Bars",Kinjo,(415) 921-2222,Above $61,4.0,136
"3673 Sacramento St,San Francisco,CA,94118","Italian,Breakfast & Brunch,Seafood",Magic Flute Ristorante,(415) 922-1225,$11-30,4.0,545
"2608 Ocean Ave,San Francisco,CA,94132","Japanese,Hot Pot",Shabu House,(415) 586-8800,$11-30,3.5,515
"160 Jefferson St,Lower Level,San Francisco,CA,94133","Bakeries,Salad,Sandwiches",Boudin Bakery & Cafe,(415) 928-1849,$11-30,4.0,3717
"680 8th St,Ste 170,San Francisco,CA,94103","Sports Bars,Barbeque",Hardwood Bar & Smokery,(415) 796-2437,$11-30,4.0,105
"3915 24th St,San Francisco,CA,94114","Mediterranean,Middle Eastern,Turkish",Sultan's Kebab,(415) 923-8545,$11-30,4.0,96
"2141 Polk St,San Francisco,CA,94109",American (New),Street Restaurant and Bar,(415) 775-1055,$11-30,4.0,635
"129 Ellis St,San Francisco,CA,94102",Italian,Puccini & Pinetti,(415) 392-5500,$11-30,3.5,1090
"1516 Folsom St,San Francisco,CA,94103","Sushi Bars,Ramen,Poke",Eat Sushi Restaurant,(415) 355-1288,$11-30,4.5,157
"1475 Polk St,San Francisco,CA,94109","Asian Fusion,Vietnamese",Crustacean,(415) 776-2722,$31-60,3.5,1573
"151 3rd St,San Francisco,CA,94103","American (New),Seafood",In Situ,(415) 941-6050,$31-60,3.5,492
"165 O'Farrell St,Fl 3,San Francisco,CA,94102","American (New),French,Bars",ONE65 Bistro & Grill,(628) 225-2806,$31-60,4.5,103
"1299 18th St,San Francisco,CA,94107","Breakfast & Brunch,American (New)",Plow,(415) 821-7569,$11-30,4.0,2604
"91 Drumm St,San Francisco,CA,94111","Mediterranean,Desserts,Salad",Oasis Grill,(415) 781-0313,$11-30,4.0,1243
"22 Peace Plz,Fl 2,San Francisco,CA,94115","Japanese,Sushi Bars",Kui Shin Bo,(415) 922-9575,$11-30,3.5,757
"336 O'Farrell St,San Francisco,CA,94102","Halal,Middle Eastern,Mediterranean",The Halal Guys,(415) 359-9418,$11-30,3.5,811
"337 3rd St,San Francisco,CA,94107","Italian,Pizza",Pazzia Ristorante Italiano,(415) 512-1693,$11-30,4.0,981
"919 Kearny St,San Francisco,CA,94133",Chinese,House of Nanking,(415) 421-1429,$11-30,3.5,3383
"705 Geary St,San Francisco,CA,94109","Sushi Bars,Japanese,Seafood",Elephant Sushi,(415) 374-7186,$11-30,4.5,282
"5546 Geary Blvd,San Francisco,CA,94121","Italian,Pizza,American (New)",Gaspare's Pizza House & Italian Restaurant,(415) 387-5025,$11-30,4.0,939
"50 Post St,Ste 65,San Francisco,CA,94104","Cambodian,Asian Fusion,Chicken Wings",Braised + Bread,(626) 222-6644,$11-30,4.5,109
"1233 9th Ave,San Francisco,CA,94122",Burgers,Jenny's Burgers,(415) 753-1453,$11-30,4.0,610
"3319 Mission St,San Francisco,CA,94110","Ramen,Noodles",Coco's Ramen,(415) 648-7722,$11-30,4.0,502
"4828 Geary Blvd,San Francisco,CA,94118","Mongolian,Sushi Bars",Great Mongolia Nomads Restaurant,(415) 379-6250,$11-30,4.5,71
"1351 Church St,San Francisco,CA,94114","British,Tea Rooms",Lovejoy's Tea Room,(415) 648-5895,$11-30,4.5,1198
"882 Sutter St,San Francisco,CA,94109",Tacos,Chisme Cantina,(415) 370-7070,$11-30,4.5,413
